"","SP","m1.loo","m2.loo","m1.params","m2.params","mod","m1.sd_q","m2.sd_q1","m2.sd_q2","m1.sd_r1","m1.sd_r2","m2.sd_r1","m2.sd_r2","prop.sd.m1.rvc","prop.sd.m1.reef","prop.sd.m2.rvc","prop.sd.m2.reef","years.rvc","years.reef","rvc.b0","reef.b0","rvc.var.hab","reef.var.hab","reef.var.site","reef.var.dmy","reef.var.diver","rvc.b.depth","reef.b.depth","reef.b.btime","reef.b.vis","reef.b.curr","rvc.b.cont","reef.b.cont","rvc.b.isol","reef.b.isol","rvc.b.rubb","reef.b.hubb","rvc.b.sg","reef.b.sg","b.expert.reef","V41"
"1","Blue Angelfish",-27.7876912487732,-21.7665513411296,4.98006582587161,4.22446594415837,"model2",0.175287748785013,0.23578691899993,0.240874264901536,0.333638278671296,0.413264125491652,0.265608414968461,0.329279580515732,0.341741412317206,0.295218642486964,0.466563024036043,0.416920449594909,23,26,0.0785631999427532,0.0400183618904546,1.34382654536372,0,0.559959910580917,2.04858765495083,0.566346193671836,0.503965036158974,0.456674886302181,0.22393947397706,-0.0308402323190444,-0.00812348991779855,0.500580090537755,0,1.07862076582985,0,-1.68699664373728,0,0.276194574351898,0,0,-0.315796615342391
"2","French Angelfish",6.3056822488328,8.57391042264876,6.86964575296805,6.94120725433749,"model2",0.0464487209563574,0.0820879668991274,0.0529846969871447,0.338758139603952,0.115588913228989,0.293576823663238,0.111179230351852,0.117795695807096,0.284726892481752,0.21325510446737,0.321076589343255,23,26,0.229275242838468,0.871404743380282,0.14370612304734,0,0.303088677331723,0.705201488508626,0.247927614888859,0.139268088902431,-0.0435619739957871,0.216693482028957,0.0556195532774019,0.0051871165788721,0.199773363182966,0,0.123249318970406,0,-0.600193890885855,0,0.298323897282243,0,0,0.0354245959480065
"3","Gray Angelfish",4.32843625748792,12.6958546030701,6.73422883586336,5.58702120299455,"model2",0.0889362857859931,0.0698212131200089,0.109948479340743,0.348588462526838,0.112433406874601,0.268036827682852,0.0944191090076617,0.201919015404178,0.436829014292254,0.201262342471919,0.535567288859353,23,26,0.455120716674502,1.32282058865412,1.3232762558768,0.652580110981686,1.0915072207543,0.866188876970828,0.407212973525924,0.162961751151595,0.192194713528607,0.198548464880356,0.0123811655332841,0.0490460081506586,0.700987897210225,0.259040160007504,1.07332199798075,1.06867895038928,-1.82863779778059,-0.660832199239892,0.10736509666186,-0.58401932582233,-0.58401932582233,-0.113846930204472
"4","Queen Angelfish",9.54817231481027,18.8833098047804,5.48986761389032,5.163425643737,"model2",0.0886804502369956,0.126040411040441,0.113171019619318,0.25892238289201,0.11846445685901,0.189062321461839,0.095845489375168,0.255723490670516,0.426849210632486,0.391477314831534,0.538744645931063,23,26,0.190917175655463,0.960180103083982,1.62971894214113,0,0.816949102344388,0.827718919829152,0.250361231441555,0.269772929274861,0.16396749205085,0.192205801829252,0.0958759899844648,0.00894181687326259,0.691540534290458,0,0.853182317820067,0,-2.05462332545499,0,0.619389447521922,0,0,-0.109331863751488
"5","Rock Beauty",-2.27763895562238,24.2049792490767,5.2359108171203,3.19063483300143,"model2",0.159028701595226,0.179143158457305,0.170184360830639,0.415659306464914,0.112061465056584,0.116138278907978,0.0947290877423315,0.274860737878569,0.580988406160862,0.608938483222577,0.642279843800549,23,26,0.295957746252285,1.38711241462537,0.32938793692976,0.547989026929449,2.09024990028448,0.489811389104665,0.67485767718889,0.513911410452218,0.284106491823794,0.199594283885146,0.0976080410530068,0.0427213712223564,0.470453430190373,0.0749318880042201,-0.279110994892663,-0.876825939817975,-0.752704926696973,0.414887489541359,0.590509825280643,0.556128963549795,0.556128963549795,-0.15278905705151
"6","Great Barracuda",-17.3036543689236,10.5016594556217,5.36235509970552,4.38429186522579,"model2",0.136643591182511,0.250293699884039,0.238743078927988,0.459761277048991,0.217562851268596,0.222013505539991,0.0970839822167724,0.225447313088744,0.382712378710555,0.523969161187822,0.706270871379614,23,26,0.219363313998202,1.13606831178544,0.174814975098104,0.0467064738334542,1.63043003501761,1.37394221102285,0.600135888117486,-0.455923298858751,-0.361980129540829,0.195785545244037,0.103312976774726,-0.0374004890416729,-0.342195925683113,-0.0566686883626495,-0.138329633223899,-0.081543817264825,-0.179519693669286,-0.0108993676658095,0.684093862420551,0.205593708991824,0.205593708991824,-0.0295534011587345
"7","Saddled Blenny",-120.4999180768,-120.986221571855,20.922233581054,20.7459394084102,"model1",0.447362295734802,0.979463154143558,0.436262061283981,11.4508895595085,0.470420837594322,11.0782776516679,0.477079463417816,0.0370574095612795,0.478527438910794,0.079487567585792,0.472761824745527,23,26,0.0478701669172619,0.064926032945025,0.0638041418010514,0,0.766669476501944,0.845202335688032,1.38512690095687,-0.407135625034805,-0.220942706512712,0.31447794566134,0.0939970565679078,-0.0611674513265068,0.182757988203576,0,-0.31391455832133,0,0.00664998436626525,0,0.150977639877513,0,0,-0.807246579749273
"8","Scrawled Cowfish",-67.6283880585739,-68.5571184555395,17.1287201606912,17.6825771284674,"model1",0.288003671221309,0.258244280856039,1.06970511882325,2.90371177326603,0.994685111875607,2.91051713967164,0.911627358025687,0.0876847093922246,0.207479401662738,0.0816623059567162,0.531926745515984,23,1,0.034147064022912,NA,6.52933944732156e-13,0,0.246562356366169,1.19445510868267,0.193171954422132,0.302672219111694,0.19809446474144,0.163970422895848,0.0545679231734276,-0.0493708483418066,-3.33019874610823e-12,0,9.26803998364822e-13,0,-2.03111464399261e-12,0,4.43448381199798e-12,0,0,-0.216477688743897
"9","Smooth Trunkfish",9.83357210129577,6.86330541065463,8.10073883069706,7.95967074671825,"model1",0.0513218109953311,0.0576191190080643,0.0257387995229964,0.360531950537112,0.0958352089764095,0.367229560158658,0.10374256709735,0.122723036123916,0.339918491481119,0.141506002825615,0.190308998188423,23,26,0.143165980654796,0.735365610509054,0.158698540841256,0.0308492171800672,0.464860231061577,0.452192599209655,0.325006514071228,0.135068878028028,0.214144675286939,0.284955692603365,0.00466539977616344,-0.0144671248653623,0.0267851040704533,0.021038969357953,-0.0896913584473504,-0.116227217993108,-0.470676830443039,-0.0279199997974473,0.560751100812715,0.173143760381616,0.173143760381616,-0.156210197833997
"10","Spotted Trunkfish",-65.9543041645372,-66.3579345338129,16.1343595373639,15.9058289332007,"model1",0.167565568346134,0.556483061660188,0.164362887706509,5.3010504367419,0.126978882921162,5.20097992835942,0.129242292901381,0.0301245417676813,0.566146260557188,0.0946904199778945,0.555473863382602,23,26,0.0193740046792039,0.148101633520216,0.257115618492766,0,0.104500718017826,0.794221782761021,0.212750633830108,-0.028684356768351,-0.0158646763114404,0.184431600287962,-0.00314925646317207,-0.0328563579960209,-0.373467574444749,0,0.187680108358703,0,-0.372111314487801,0,0.637287815923226,0,0,-0.0205099755226448
