"","site","n","hab","strat","lat.dd","lon.dd"
"1",34080001,356,"SPGR","HRRF",24.4791666666667,-81.7163333333333
"2",34080002,111,"SPGR","FMLR",24.4911666666667,-81.664
"3",34080003,282,"SPGR","FDLR",24.449,-81.8563333333333
"4",34080004,276,"SPGR","FMLR",24.4508333333333,-81.8778333333333
"5",34080005,112,"SPGR","HRRF",24.4883333333333,-81.6733333333333
"6",34080006,98,"SPGR","HRRF",24.4998333333333,-81.6296666666667
"7",34080007,24,"CONT","FMLR",24.5116666666667,-81.6171666666667
"8",34080008,264,"SPGR","HRRF",24.4591666666667,-81.8445
"9",34080009,102,"SPGR","FMLR",24.4725,-81.765
"10",34080010,148,"CONT","FDLR",24.4638333333333,-81.7373333333333
"11",34080014,63,"CONT","FDLR",24.4608333333333,-81.7668333333333
"12",34080016,42,"SPGR","FMLR",24.4338333333333,-81.933
"13",34080018,205,"ISOL","OFPR",24.4451666666667,-81.9378333333333
"14",34080019,65,"SPGR","FMLR",24.4433333333333,-81.9325
"15",34080023,153,"SPGR","FMLR",24.4723333333333,-81.7455
"16",34080026,39,"SPGR","FMLR",24.4686666666667,-81.7261666666667
"17",34080028,19,"SPGR","FMLR",24.4686666666667,-81.7291666666667
"18",34080029,12,"SPGR","FDLR",24.4683333333333,-81.7291666666667
"19",34080030,11,"SPGR","FMLR",24.4686666666667,-81.7276666666667
"20",34080031,8,"SPGR","FDLR",24.4695,-81.7231666666667
"21",34080035,6,"SPGR","FMLR",24.473,-81.7461666666667
"22",34080038,9,"SPGR","FMLR",24.469,-81.7285
"23",34080040,24,"SPGR","FDLR",24.471,-81.7748333333333
"24",34080041,12,"SPGR","FDLR",24.4703333333333,-81.7786666666667
"25",34080043,13,"ISOL","OFPR",24.4581666666667,-81.8681666666667
"26",34080046,8,"SPGR","FDLR",24.4738333333333,-81.7161666666667
"27",34080047,29,"SPGR","HRRF",24.4793333333333,-81.7161666666667
"28",34080049,5,"SPGR","FMLR",24.506,-81.594
"29",34080074,6,"SPGR","FMLR",24.4464166666667,-81.88755
"30",34080094,60,"SPGR","HRRF",24.4776666666667,-81.7155
"31",34080095,61,"SPGR","FMLR",24.4708333333333,-81.7453333333333
"32",34080096,53,"SPGR","FDLR",24.4575,-81.8406666666667
