"","SSU_YEAR","NUM.total","occ","SPECIES_CD","X","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","ZONE_NR","SUBREGION_NR","MPA_NR","SPECIES_NR","LEN","NUM","TIME_SEEN","PROT","STRAT","REGION","LAT_LON","REEF_site","REEF_lat","REEF_lon","region.id","HAB_CD2","psu_id","NUM.total2","PSU_YEAR"
"1","1995_006U_1",0,0,"HOL BERM",955764,"006U",1995,7,11,1,24.45,-81.87,5.5,8,4894775,"SPGR_HR",4,8,23,152,0,0,1,NA,"FDLR",NA,"24.45_-81.87","S + RS 843",24.44365,-81.873,3408,"SPGR",1,0,"1995_006U"
"2","1995_031U_1",0,0,"HOL BERM",955893,"031U",1995,6,12,1,24.48,-81.71,6.4,8,5209789,"SPGR_HR",4,8,20,152,0,0,1,NA,"HRRF",NA,"24.48_-81.71","NOAA Site-Stn 14422",24.4858833333333,-81.7105166666667,3408,"SPGR",2,0,"1995_031U"
"3","1995_034U_1",0,0,"HOL BERM",955918,"034U",1995,6,12,1,24.48,-81.7,6.3,8,5221039,"SPGR_HR",4,8,20,152,0,0,1,NA,"FMLR",NA,"24.48_-81.7","NOAA Site-Stn 14172",24.4830333333333,-81.6996666666667,3408,"SPGR",3,0,"1995_034U"
"4","1995_036U_4",0,0,"HOL BERM",955928,"036U",1995,7,13,4,24.48,-81.67,5.5,8,5277293,"SPGR_HR",4,8,0,152,0,0,1,NA,"FDLR",NA,"24.48_-81.67","Middle Sambo",24.4883333333333,-81.6733333333333,3408,"SPGR",4,0,"1995_036U"
"5","1995_037U_1",0,0,"HOL BERM",955932,"037U",1995,7,12,1,24.49,-81.66,5.9,8,5299794,"SPGR_HR",4,8,19,152,0,0,1,NA,"FDLR",NA,"24.49_-81.66","NOAA Site-Stn 3201",24.4893166666667,-81.66035,3408,"SPGR",5,0,"1995_037U"
"6","1995_050U_1",0,0,"HOL BERM",955965,"050U",1995,7,11,1,24.45,-81.85,5.5,8,4932274,"SPGR_HR",4,8,22,152,0,0,1,NA,"FDLR",NA,"24.45_-81.85","Rock Key",24.449,-81.8563333333333,3408,"SPGR",6,0,"1995_050U"
"7","1995_052U_1",0,0,"HOL BERM",955977,"052U",1995,7,14,1,24.5,-81.63,5.9,8,5363550,"SPGR_HR",4,8,0,152,0,0,1,NA,"HRRF",NA,"24.5_-81.63","Pelican Shoals",24.4998333333333,-81.6296666666667,3408,"SPGR",8,0,"1995_052U"
"8","1995_056U_1",0,0,"HOL BERM",956002,"056U",1995,7,12,1,24.45,-81.84,5.8,8,4958527,"SPGR_HR",4,8,21,152,0,0,1,NA,"FDLR",NA,"24.45_-81.84","Eastern Dry Rocks Deep (HV Monitoring Site)",24.4575,-81.8406666666667,3408,"SPGR",10,0,"1995_056U"
"9","1995_059U_1",0.5,1,"HOL BERM",956024,"059U",1995,7,28,1,24.52,-81.51,5.8,8,5577312,"SPGR_HR",4,8,0,152,0,0,1,NA,"FDLR",NA,"24.52_-81.51","Emitina",24.52025,-81.5111,3408,"SPGR",11,1,"1995_059U"
"10","1997_055U_1",0,0,"HOL BERM",1171814,"055U",1997,6,25,1,24.48,-81.75,9.6,8,5123541,"ISOL_MR",3,8,0,152,0,0,1,NA,"FMLR",NA,"24.48_-81.75","Glory Hole #2",24.473,-81.7461666666667,3408,"ISOL",12,0,"1997_055U"
"11","1997_056U_1",0,0,"HOL BERM",1171821,"056U",1997,6,25,1,24.49,-81.7,7.2,8,5221048,"ISOL_MR",3,8,20,152,0,0,1,NA,"FMLR",NA,"24.49_-81.7","NOAA Site-Stn 14432",24.4863666666667,-81.6984333333333,3408,"ISOL",13,0,"1997_056U"
"12","1997_057U_1",0,0,"HOL BERM",1171828,"057U",1997,6,26,1,24.5,-81.67,5,8,5284801,"ISOL_MR",3,8,0,152,0,0,1,NA,"OFPR",NA,"24.5_-81.67","Eastern Sambo",24.4911666666667,-81.664,3408,"ISOL",14,0,"1997_057U"
"13","1997_058U_1",0,0,"HOL BERM",1171834,"058U",1997,6,26,1,24.49,-81.71,6.4,8,5206046,"ISOL_MR",3,8,20,152,0,0,1,NA,"OFPR",NA,"24.49_-81.71","NOAA Site-Stn 13892",24.4911166666667,-81.7108666666667,3408,"ISOL",15,0,"1997_058U"
